title,location,industry,skills,skill_categories,description,min_salary,max_salary,med_salary
Entry Level Financial Analyst,Seattle,Retail,"['Python', 'Java', 'Marketing Strategy', 'Real Estate Law', 'SQL']","['Software Engineering', 'Business']","Join our growing Retail company as a Entry Level Financial Analyst. Required technical skills: Python, Java, Marketing Strategy, Real Estate Law and SQL. Position located in Seattle with excellent benefits. This role focuses on Software Engineering and Business skills.",73305.18,123000.58,98152.88
Senior Operations Manager,Austin,Education,"['Clinical Trials', 'Healthcare IT', 'Project Management', 'Scrum', 'Agile Methodologies', 'Kanban']","['Product & Management', 'Healthcare']","Join our growing Education company as a Senior Operations Manager. Required technical skills: Clinical Trials, Healthcare IT, Project Management, Scrum, Agile Methodologies and Kanban. Position located in Austin with excellent benefits. This role focuses on Product & Management and Healthcare skills.",125334.38,193873.73,159604.055
Mid Level Sales Manager,Chicago,Finance,"['Supply Chain Management', 'Transportation Planning', 'UX Design']","['Design', 'Operations']","Exciting opportunity for a Mid Level Sales Manager in Chicago. Our Finance division is expanding and needs someone skilled in Supply Chain Management, Transportation Planning and UX Design. Competitive salary and comprehensive benefits package. Expert knowledge of Design and Operations is required.",116955.93,173908.79,145432.36
Executive Sales Manager,Chicago,Real Estate,"['Healthcare IT', 'UI Design', 'Clinical Trials', 'EHR Systems', 'UX Design']","['Design', 'Healthcare']","Exciting opportunity for a Executive Sales Manager in Chicago. Our Real Estate division is expanding and needs someone skilled in Healthcare IT, UI Design, Clinical Trials, EHR Systems and UX Design. Competitive salary and comprehensive benefits package. Expert knowledge of Design and Healthcare is required.",267931.18,466398.11,367164.645
Executive Product Manager,Chicago,Hospitality,"['Risk Management', 'SQL', 'Docker', 'Agile Methodologies']","['Software Engineering', 'Product & Management']","We are seeking a Executive Product Manager to join our Hospitality team. The ideal candidate will have experience with Risk Management, SQL, Docker and Agile Methodologies. This position is based in Chicago and offers competitive compensation. This role focuses on Software Engineering and Product & Management skills.",261596.05,452132.9,356864.475
Executive Customer Success Manager,San Francisco,Manufacturing,"['Node.js', 'Docker', 'Java', 'SQL']",['Software Engineering'],"Join our growing Manufacturing company as a Executive Customer Success Manager. Required technical skills: Node.js, Docker, Java and SQL. Position located in San Francisco with excellent benefits. Expert knowledge of Software Engineering is required.",355534.64,595316.44,475425.54
Entry Level UX Designer,San Francisco,Healthcare,"['UI Design', 'Data Analysis', 'Machine Learning']","['Data & AI', 'Design']","We are seeking a Entry Level UX Designer to join our Healthcare team. The ideal candidate will have experience with UI Design, Data Analysis and Machine Learning. This position is based in San Francisco and offers competitive compensation. This role focuses on Data & AI and Design skills.",95051.98,146144.77,120598.375
Lead Financial Analyst,Chicago,Hospitality,"['Supply Chain Management', 'Logistics', 'Manufacturing Processes', 'Machine Learning']","['Data & AI', 'Operations']","We are seeking a Lead Financial Analyst to join our Hospitality team. The ideal candidate will have experience with Supply Chain Management, Logistics, Manufacturing Processes and Machine Learning. This position is based in Chicago and offers competitive compensation. This role focuses on Data & AI and Operations skills.",196180.58,301427.44,248804.01
Mid Level Financial Analyst,Austin,Real Estate,"['Java', 'Risk Management', 'Transportation Planning', 'Healthcare IT', 'UI Design']","['Software Engineering', 'Product & Management', 'Design', 'Healthcare', 'Operations']","Join our growing Real Estate company as a Mid Level Financial Analyst. Required technical skills: Java, Risk Management, Transportation Planning, Healthcare IT and UI Design. Position located in Austin with excellent benefits. This role focuses on Software Engineering and Product & Management and Design and Healthcare and Operations skills.",110484.02,166714.7,138599.36000000002
Executive Quality Assurance Engineer,San Francisco,Real Estate,"['Manufacturing Processes', 'Healthcare IT', 'Equity Research', 'Supply Chain Management']","['Finance', 'Healthcare', 'Operations']","Exciting opportunity for a Executive Quality Assurance Engineer in San Francisco. Our Real Estate division is expanding and needs someone skilled in Manufacturing Processes, Healthcare IT, Equity Research and Supply Chain Management. Competitive salary and comprehensive benefits package. Strong background in Finance and Healthcare and Operations is essential.",321272.47,606896.58,464084.52499999997
Mid Level Product Manager,Seattle,Transportation,"['Retail Sales', 'Project Management', 'Business Development', 'Marketing Strategy', 'Agile Methodologies', 'Risk Management']","['Product & Management', 'Business']","Exciting opportunity for a Mid Level Product Manager in Seattle. Our Transportation division is expanding and needs someone skilled in Retail Sales, Project Management, Business Development, Marketing Strategy, Agile Methodologies and Risk Management. Competitive salary and comprehensive benefits package. Strong background in Product & Management and Business is essential.",108746.65,168703.84,138725.245
